2026-04-28 15:37:37 | INFO     | services.sheetservices | Written output_image_3 for W0743140A: outputs\W0743140A\view_3.jpeg
2026-04-28 15:37:37 | INFO     | pipeline | Processing product 2/6: W193E24B0022013
2026-04-28 15:37:43 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W193E24B0022013/W193E24B0022013 (1).jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:37:47 | INFO     | services.fashion_service | [W193E24B0022013] view_1 → product-to-model job 019dd38f-203a-72b1-9656-9cb29895dd60
2026-04-28 15:38:21 | INFO     | services.fashion_service | [W193E24B0022013] view_1 completed → https://cdn.fashn.ai/019dd38f-203a-72b1-9656-9cb29895dd60/product_to_model_0.jpeg
2026-04-28 15:38:23 | INFO     | services.storage_service | Downloaded to local: outputs\W193E24B0022013\view_1.jpeg
2026-04-28 15:38:23 | INFO     | pipeline | [W193E24B0022013] view_1 ✓
2026-04-28 15:38:26 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W193E24B0022013/W193E24B0022013 (2).jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:38:30 | INFO     | services.fashion_service | [W193E24B0022013] view_2 → product-to-model job 019dd38f-cb34-7540-9c99-126afedcfff2
2026-04-28 15:39:12 | INFO     | services.fashion_service | [W193E24B0022013] view_2 completed → https://cdn.fashn.ai/019dd38f-cb34-7540-9c99-126afedcfff2/product_to_model_0.jpeg
2026-04-28 15:39:15 | INFO     | services.storage_service | Downloaded to local: outputs\W193E24B0022013\view_2.jpeg
2026-04-28 15:39:15 | INFO     | pipeline | [W193E24B0022013] view_2 ✓
2026-04-28 15:39:20 | WARNING  | services.image_classifier | Classification failed for https://oms.awl.lxcn.com/uploads/goods/W193E24B0022013/W193E24B0022013 (3).jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:39:23 | INFO     | services.fashion_service | [W193E24B0022013] view_3 → product-to-model job 019dd390-9a3d-7082-8791-a96af57a5add
2026-04-28 15:39:45 | INFO     | services.fashion_service | [W193E24B0022013] view_3 completed → https://cdn.fashn.ai/019dd390-9a3d-7082-8791-a96af57a5add/product_to_model_0.jpeg
2026-04-28 15:39:47 | INFO     | services.storage_service | Downloaded to local: outputs\W193E24B0022013\view_3.jpeg
2026-04-28 15:39:47 | INFO     | pipeline | [W193E24B0022013] view_3 ✓
2026-04-28 15:39:48 | INFO     | services.sheetservices | Written output_image_1 for W193E24B0022013: outputs\W193E24B0022013\view_1.jpeg
2026-04-28 15:39:48 | INFO     | services.sheetservices | Written output_image_2 for W193E24B0022013: outputs\W193E24B0022013\view_2.jpeg
2026-04-28 15:39:49 | INFO     | services.sheetservices | Written output_image_3 for W193E24B0022013: outputs\W193E24B0022013\view_3.jpeg
2026-04-28 15:39:49 | INFO     | pipeline | Processing product 3/6: 901869922063Grey
2026-04-28 15:39:51 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01QD1cEw1OliZdkngC5_!!3166701746-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:39:56 | INFO     | services.fashion_service | [901869922063Grey] view_1 → product-to-model job 019dd391-1aaa-77a3-9139-877036181ef4
2026-04-28 15:40:26 | INFO     | services.fashion_service | [901869922063Grey] view_1 completed → https://cdn.fashn.ai/019dd391-1aaa-77a3-9139-877036181ef4/product_to_model_0.jpeg
2026-04-28 15:40:29 | INFO     | services.storage_service | Downloaded to local: outputs\901869922063Grey\view_1.jpeg
2026-04-28 15:40:29 | INFO     | pipeline | [901869922063Grey] view_1 ✓
2026-04-28 15:40:31 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01976dae1OliZc4UGeo_!!3166701746-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:40:35 | INFO     | services.fashion_service | [901869922063Grey] view_2 → product-to-model job 019dd391-b1d7-7232-ade8-6780985ea478
2026-04-28 15:41:16 | INFO     | services.fashion_service | [901869922063Grey] view_2 completed → https://cdn.fashn.ai/019dd391-b1d7-7232-ade8-6780985ea478/product_to_model_0.jpeg
2026-04-28 15:41:18 | INFO     | services.storage_service | Downloaded to local: outputs\901869922063Grey\view_2.jpeg
2026-04-28 15:41:18 | INFO     | pipeline | [901869922063Grey] view_2 ✓
2026-04-28 15:41:19 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01BCsxHd1OliZftK1I1_!!3166701746-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 420 Client Error:  for url: https://cbu01.alicdn.com/img/ibank/O1CN01BCsxHd1OliZftK1I1_!!3166701746-0-cib.jpg
2026-04-28 15:41:23 | INFO     | services.fashion_service | [901869922063Grey] view_3 → product-to-model job 019dd392-6d61-7b20-b471-f218e9a328f1
2026-04-28 15:41:58 | INFO     | services.fashion_service | [901869922063Grey] view_3 completed → https://cdn.fashn.ai/019dd392-6d61-7b20-b471-f218e9a328f1/product_to_model_0.jpeg
2026-04-28 15:42:00 | INFO     | services.storage_service | Downloaded to local: outputs\901869922063Grey\view_3.jpeg
2026-04-28 15:42:00 | INFO     | pipeline | [901869922063Grey] view_3 ✓
2026-04-28 15:42:01 | INFO     | services.sheetservices | Written output_image_1 for 901869922063Grey: outputs\901869922063Grey\view_1.jpeg
2026-04-28 15:42:02 | INFO     | services.sheetservices | Written output_image_2 for 901869922063Grey: outputs\901869922063Grey\view_2.jpeg
2026-04-28 15:42:02 | INFO     | services.sheetservices | Written output_image_3 for 901869922063Grey: outputs\901869922063Grey\view_3.jpeg
2026-04-28 15:42:02 | INFO     | pipeline | Processing product 4/6: 913754391304Beige
2026-04-28 15:42:06 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01EsSoq425owqrkusuE_!!2215059867574-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:42:10 | INFO     | services.fashion_service | [913754391304Beige] view_1 → product-to-model job 019dd393-25c8-7980-89ce-48f411a11b2a
2026-04-28 15:42:51 | INFO     | services.fashion_service | [913754391304Beige] view_1 completed → https://cdn.fashn.ai/019dd393-25c8-7980-89ce-48f411a11b2a/product_to_model_0.jpeg
2026-04-28 15:42:53 | INFO     | services.storage_service | Downloaded to local: outputs\913754391304Beige\view_1.jpeg
2026-04-28 15:42:53 | INFO     | pipeline | [913754391304Beige] view_1 ✓
2026-04-28 15:42:54 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01XxKZ8O25owqsx8AHE_!!2215059867574-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 420 Client Error:  for url: https://cbu01.alicdn.com/img/ibank/O1CN01XxKZ8O25owqsx8AHE_!!2215059867574-0-cib.jpg
2026-04-28 15:42:58 | INFO     | services.fashion_service | [913754391304Beige] view_2 → product-to-model job 019dd393-e049-75b3-8566-1d1ef035a998
2026-04-28 15:43:14 | INFO     | services.fashion_service | [913754391304Beige] view_2 completed → https://cdn.fashn.ai/019dd393-e049-75b3-8566-1d1ef035a998/product_to_model_0.jpeg
2026-04-28 15:43:16 | INFO     | services.storage_service | Downloaded to local: outputs\913754391304Beige\view_2.jpeg
2026-04-28 15:43:16 | INFO     | pipeline | [913754391304Beige] view_2 ✓
